TITLE,RATING,YEAR,SCORE
The Real Ghostbusters,TV-Y7,1990,65
Animaniacs,TV-Y7,1997,72
The Magic School Bus,TV-Y,1997,81
Goosebumps,TV-Y7,1998,88
Pocahontas II: Journey to a New World,TV-G,1998,64
Pokimon: Indigo League,TV-Y,2000,74
Friends,TV-14,2003,98
Justice League,TV-Y7-FV,2003,66
Charmed,TV-PG,2005,90
That '70s Show,TV-14,2005,89
The West Wing,TV-14,2005,79
Death Note,TV-14,2006,77
Gilmore Girls,TV-14,2006,91
High School Musical,TV-G,2006,64
High School Musical 2,TV-G,2007,58
Little Einsteins,TV-Y,2007,70
Pocoyo,TV-Y,2007,67
The Batman,TV-Y7,2007,77
DreamWorks Shrek's Swamp Stories,TV-PG,2008,56
Naruto,TV-PG,2008,88
Prison Break,TV-14,2008,98
H2O: Just Add Water,TV-PG,2009,74
Cars Toons: Mater's Tall Tales,TV-G,2010,74
Friday Night Lights,TV-PG,2010,81
Lie to Me,TV-14,2010,89
Life Unexpected,TV-PG,2010,55
Lost,TV-14,2010,98
Mighty Morphin Power Rangers,TV-Y7-FV,2010,73
Forensic Files,TV-14,2011,88
One Tree Hill,TV-14,2011,90
Barbie Life in the Dreamhouse,TV-G,2012,85
Absolutely Fabulous,TV-14,2012,59
Gossip Girl,TV-14,2012,96
Breakout Kings,TV-14,2012,88
30 Rock,TV-14,2012,66
Leverage,TV-PG,2012,86
Phineas and Ferb,TV-G,2012,89
Private Practice,TV-14,2012,88
The Cleveland Show,TV-14,2012,88
The Office (U.S.),TV-14,2012,97
Touch,TV-14,2012,68
Weeds,TV-MA,2012,85
Young Justice,TV-PG,2012,71
Burn Notice,TV-14,2013,85
Masha and the Bear,TV-Y,2013,81
Army Wives,TV-14,2013,61
Dexter,TV-MA,2013,95
Breaking Bad,TV-MA,2013,97
Raising Hope,TV-14,2013,73
The Client List,TV-14,2013,92
90210,TV-14,2013,62
The Secret Life of the American Teenager,TV-14,2013,81
Hart of Dixie,TV-PG,2014,81
Being Human (U.S.),TV-14,2014,58
How I Met Your Mother,TV-PG,2014,94
Californication,TV-MA,2014,63
Brickleberry,TV-MA,2014,63
Mad Men,TV-14,2014,75
Parenthood,TV-14,2014,79
Star Wars: The Clone Wars,TV-PG,2014,93
The Killing,TV-14,2014,73
White Collar,TV-PG,2014,93
Jessie,TV-G,2015,88
Last Man Standing,TV-PG,2015,97
Law & Order: Special Victims Unit,TV-14,2015,97
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,2015,67
Life in Pieces,TV-14,2015,68
Luther,TV-14,2015,69
Marvel's Jessica Jones,TV-MA,2015,83
Nurse Jackie,TV-MA,2015,82
Parks and Recreation,TV-14,2015,94
Pokimon: XY,TV-Y7-FV,2015,56
Girlfriends' Guide to Divorce,TV-14,2015,63
Glee,TV-PG,2015,92
Reign,TV-14,2015,79
Revenge,TV-PG,2015,84
Rosewood,TV-14,2015,81
Sofia the First,TV-Y,2015,82
Super Why!,TV-Y,2015,68
Switched at Birth,TV-14,2015,83
Arrow,TV-14,2015,96
Crossing Lines,TV-14,2015,66
The Night Shift,TV-14,2015,93
Family Guy,TV-MA,2015,98
The Walking Dead,TV-MA,2015,98
Walt Disney Animation Studios Short Films Collection,TV-G,2015,84
Heartland,TV-PG,2015,85
Hap and Leonard,TV-MA,2016,57
Madam Secretary,TV-14,2016,70
Marvel's Agents of S.H.I.E.L.D.,TV-PG,2016,89
It's Always Sunny in Philadelphia,TV-MA,2016,91
Marvel's Luke Cage,TV-MA,2016,95
Bates Motel,TV-14,2016,83
Gilmore Girls: A Year in the Life,TV-14,2016,77
Narcos,TV-MA,2016,94
Bordertown,TV-14,2016,86
NCIS,TV-14,2016,97
New Girl,TV-14,2016,91
Jane The Virgin,TV-14,2016,91
Once Upon a Time,TV-PG,2016,98
Only for One Night,TV-MA,2016,78
Orange Is the New Black,TV-MA,2016,98
Gotham,TV-14,2016,85
Person of Interest,TV-14,2016,93
All Hail King Julien,TV-Y7-FV,2016,71
Black Mirror,TV-MA,2016,80
American Crime Story: The People v. O.J. Simpson,TV-MA,2016,79
Death in Paradise,TV-14,2016,77
Portlandia,TV-14,2016,62
Pretty Little Liars,TV-14,2016,96
Lab Rats,TV-Y7,2016,85
Quantico,TV-14,2016,88
Better Call Saul,TV-MA,2016,95
House of Cards,TV-MA,2016,91
Greenleaf,TV-14,2016,62
Criminal Minds,TV-14,2016,98
Scandal,TV-14,2016,92
Schitt's Creek,TV-14,2016,74
Shameless (U.S.),TV-MA,2016,97
Sherlock,TV-14,2016,95
Skin Wars,TV-14,2016,69
Fuller House,TV-G,2016,90
Haters Back Off,TV-14,2016,58
Stranger Things,TV-14,2016,90
How to Get Away with Murder,TV-14,2016,95
Supernatural,TV-14,2016,95
Grey's Anatomy,TV-14,2016,98
Talking Tom and Friends,TV-G,2016,61
Limitless,TV-14,2016,84
The Adventures of Puss in Boots,TV-Y7-FV,2016,78
Blue Bloods,TV-14,2016,95
The Blacklist,TV-14,2016,96
The Carmichael Show,TV-14,2016,69
Bones,TV-14,2016,97
Goldie & Bear,TV-Y,2016,77
The Crown,TV-MA,2016,84
The Do-Over,TV-MA,2016,84
The Doctor Blake Mysteries,TV-MA,2016,57
The Fall,TV-MA,2016,61
The Flash,TV-PG,2016,98
The Fosters,TV-14,2016,73
The Great British Baking Show,TV-PG,2016,94
Hawaii Five-0,TV-14,2016,96
Little Boxes,TV-14,2016,61
The Magicians,TV-MA,2016,89
Bitten,TV-MA,2016,56
Longmire,TV-14,2016,92
The Originals,TV-14,2016,74
Baby Daddy,TV-14,2016,80
Cheer Squad,TV-PG,2016,61
Travelers,TV-MA,2016,86
Trollhunters,TV-Y7-FV,2016,83
Bunk'd,TV-G,2016,61
American Horror Story,TV-MA,2016,90
Sense8,TV-MA,2017,81
Grace and Frankie,TV-MA,2017,90
Chewing Gum,TV-MA,2017,93
Dragons: Race to the Edge,TV-Y7-FV,2017,88
13 Reasons Why,TV-MA,2017,99
Dave Chappelle,TV-MA,2017,94
The Vampire Diaries,TV-14,2017,91
Dawn of the Croods,TV-Y7,2017,72
Sand Castle,TV-MA,2017,89
Sandy Wexler,TV-14,2017,92
The Get Down,TV-MA,2017,80
Santa Clarita Diet,TV-MA,2017,82
Louis C.K. 2017,TV-MA,2017,71
Girlboss,TV-MA,2017,94
Ingobernable,TV-MA,2017,96
Marvel's Iron Fist,TV-MA,2017,98
